image_id,red_mode,green_mode,blue_mode,red_median,red_iqr,green_iqr,blue_iqr,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_Skewness,original_glcm_Autocorrelation,original_glcm_ClusterShade,original_glcm_Contrast,original_glcm_Correlation,original_glcm_Idmn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_MCC,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_ZoneEntropy,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,melanoma_or_keratosis
ISIC_0000000,65,51,57,94,67,65,60,169.60000000000002,182.0,0.960618309210022,6.0,6.5840644923392535,190.0,144.0,46.0,-1.206730075433308,7.095172086328818,-0.3706386852156937,0.1183671292021261,0.731243673293035,0.9881632870797874,-0.4524647557992147,0.7411351226711154,0.7312758503216483,2.777059311558097,0.3018096796958131,5.229053049082796,0.8711094584917094,3.0035524357150067,0.6048871350924583,0.4483302795954789,2.6254309004780545,0.3296539080428716,0.0065126795079967,0.0469688718914561,1
ISIC_0000001,87,53,46,116,86,58,40,112.0,135.0,1.163591833740209,12.0,4.363266293145934,152.0,80.0,72.0,-0.4872423126581511,6.02390508042682,-0.2134871030693228,0.1710587784958494,0.7112092528388692,0.9899377189120088,-0.4032362057201549,0.7701035644098553,0.7637040944348059,2.9531949083357665,0.3192694055992157,4.672683513838749,0.9747125284128894,1.4550057095101003,0.2994229950553664,0.4550252971761699,2.777912802157009,0.80848017901325,0.0060197002388007,0.1247402501440122,1
ISIC_0000002,162,120,114,161,26,52,67,157.0,169.0,0.1127923989454831,6.0,3.7225282695828414,180.0,142.0,38.0,-0.3143457865673632,3.9887792595992,-0.0284255554545339,0.0036834899125148,0.615166868610012,0.9996316510087484,-0.5649900000725565,0.2509896918432665,0.6666904104486822,1.9527991394792383,0.3067573540618808,5.051851851851852,1.2781721536351165,1.4997103084391965,0.3801911401371618,0.4159542857142857,1.9321270569299327,0.0075741875073382,1.1557857682121711e-05,0.941025641025641,0
ISIC_0000003,182,128,51,161,60,57,48,176.0,191.0,0.3606182052366043,7.0,3.6249829468519135,209.0,160.0,49.0,-0.0434994195048191,3.85636974005496,-0.1979914426282714,0.0404690765108539,0.5613176254641208,0.9959530923489146,-0.3844609251139751,0.4328164829087533,0.7117416591558247,2.229848631668437,0.3026795351994339,5.162064825930372,1.4075296785380818,1.5055874026318217,0.4297519861145919,0.4341642845955047,2.214527698519935,0.11926378627125,0.0006372756248983,0.0806279434850863,1
ISIC_0000004,192,132,171,192,36,44,55,26.0,205.0,2.5893921101531814,159.0,1.5985155871282264,222.0,12.0,210.0,0.5907915976210569,31.008518566789267,106.3883953737466,0.1274878895138572,0.9928940209090532,0.9984452696400749,-0.7707259994868033,0.9889103404797482,0.9999999999999698,4.318292573941453,0.3220436391927238,4.673328738800827,0.8060390781181656,1.5481631488571863,0.2685331502614152,0.4326533593932861,4.2751564332104,3.153283406830377,0.0217364997785301,2.213423503274276,0
ISIC_0000006,213,123,100,187,38,76,101,138.0,149.0,0.4402304457154971,6.0,2.9917215109700392,157.0,128.0,29.0,-0.1689807328154053,1.2118714911028643,0.3075369066577129,0.0813565428766684,0.4600083706620073,0.9837286914246662,-0.2227051604904881,0.4011630982645256,0.4600083706620017,2.218446497912085,0.3223706647729538,4.594167679222357,4.418286755771567,1.4339907671350802,1.3468666694492653,0.4706984009674818,2.1151487104564017,0.0498192163630968,0.0043526071127712,0.0462427745664739,1
ISIC_0000007,153,108,87,168,46,70,83,134.0,146.0,0.1306154059069167,6.0,5.229154491264725,153.0,113.0,40.0,-0.7463329778228652,3.934467994771541,-0.1140152826529078,0.0220611386209462,0.5684721811693209,0.9977938861379052,-0.4522708499422564,0.3599266002416908,0.7024185652665205,1.911173398742324,0.3197986538769717,4.842105263157895,1.259934875066454,1.5504106646783282,0.3979454865204732,0.4089832495573877,1.8942361878337288,0.0372626391186024,6.0918683222927854e-05,0.4162679425837321,1
ISIC_0000008,184,103,70,180,49,63,50,174.0,189.0,0.5983748971723108,9.0,2.758210358430978,203.0,166.0,37.0,0.2117122537576372,3.5969095379359626,-0.5102434296603611,0.0560868233423271,0.7691492689793913,0.9943913176657672,-0.5558682877227444,0.6896634605543237,0.9486007995392796,2.4735816126035006,0.3072384876281402,5.176196032672112,1.723972513937508,1.501941020202667,0.5174945194724034,0.4179882067291016,2.403805753115812,0.1440974931786067,0.0014462812756766,0.0771175537803309,1
ISIC_0000009,187,122,90,194,35,60,58,144.0,158.0,0.988475829921898,8.0,2.443514537785097,165.0,138.0,27.0,0.1875725982382496,2.6835500018935097,-0.2542812686068095,0.0959317486059205,0.8028299459602848,0.9808136502788158,-0.5411140069774083,0.8062454356041381,0.8028299459602851,2.80203403934612,0.3204778418825695,4.652173913043479,2.6414796633941093,1.4274721064797555,0.8195394530086157,0.4809300049889432,2.553232820358888,0.0653490214129238,0.0160733193276115,0.0214669051878354,1
ISIC_0000010,229,202,112,199,55,83,87,136.0,145.0,0.0228540683688717,4.0,3.147126876508536,150.0,128.0,22.0,-0.0311584450672884,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.7910477204313064,0.3236739832639207,4.837235228539576,4.835562987736901,1.4793122270846513,1.4773956521730858,0.3921660843859177,1.8357258930867744,0.0,0.0,0.0,1
