image_id,red_mode,green_mode,blue_mode,red_iqr,green_iqr,blue_iqr,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_Skewness,original_glcm_Autocorrelation,original_glcm_ClusterShade,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_MCC,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_ZoneEntropy,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,melanoma,seborrheic_keratosis
ISIC_0000002,162,120,114,26,52,67,157.0,169.0,0.1127923989454831,6.0,3.7225282695828414,180.0,142.0,38.0,-0.3143457865673632,3.9887792595992,-0.0284255554545339,0.0036834899125148,0.615166868610012,0.0036834899125148,0.9996316510087484,-0.5649900000725565,0.2509896918432665,0.6666904104486822,1.9527991394792383,0.3067573540618808,1.2781721536351165,0.3801911401371618,0.4159542857142857,1.9321270569299327,0.0075741875073382,1.1557857682121711e-05,0.941025641025641,1,0
ISIC_0000004,192,132,171,36,44,55,26.0,205.0,2.5893921101531814,159.0,1.5985155871282264,222.0,12.0,210.0,0.5907915976210569,31.008518566789267,106.3883953737466,0.1274878895138572,0.9928940209090532,0.1274878895138572,0.9984452696400749,-0.7707259994868033,0.9889103404797482,0.9999999999999698,4.318292573941453,0.3220436391927238,0.8060390781181656,0.2685331502614152,0.4326533593932861,4.2751564332104,3.153283406830377,0.0217364997785301,2.213423503274276,1,0
ISIC_0000013,53,42,35,92,41,28,169.0,188.0,0.8962284206795341,10.0,3.326095250696269,203.0,145.0,58.0,-0.1660189346633964,7.571025745757351,-0.5305576947342525,0.1101855354083066,0.7313654184882057,0.1101855354083066,0.9935184979171584,-0.4536415949738089,0.7356681119091595,0.855706434121794,2.707802221114868,0.3170707590442411,0.6917897684558714,0.2170540777505436,0.4496054551866508,2.5835005874286887,0.5063843137337738,0.002537260753499,0.1123191867062927,1,0
ISIC_0000022,232,219,226,40,75,103,155.0,171.0,0.3064514801911632,9.0,4.771306555392714,180.0,118.0,62.0,-0.800611464679825,9.171442710202328,0.1068967661730797,0.0150806197713566,0.8389337058680901,0.0150806197713566,0.999112904719332,-0.7021039477810872,0.612973557967464,0.909908902784543,2.134946577639409,0.3065502391327452,0.5819788087056129,0.2426032005215609,0.3912670827053902,2.1526896933866366,0.0876091842527011,8.692396850910578e-05,0.4533324977281984,1,0
ISIC_0000026,229,200,211,16,46,64,152.0,164.0,0.1614456120931118,7.0,2.5792012136491715,172.0,143.0,29.0,-0.0608406969150091,3.922543059579212,-0.1388192587984129,0.0128762000579002,0.7282483375961202,0.0128762000579002,0.99742475998842,-0.5619288657365101,0.3955865975185405,0.7282483375959538,1.9886861704202825,0.3135182443964506,1.3248768472906405,0.4242428477025766,0.3983836225567341,1.9780012734303511,0.0098237440041414,0.0002135506850596,0.0710059171597633,1,0
ISIC_0000029,72,38,33,62,34,26,163.0,186.0,1.0622965498834118,11.0,3.701125369973996,203.0,130.0,73.0,-0.4385014153441527,6.722563334068076,-0.2815381737403116,0.1427217424985729,0.7232710162273217,0.1427217424985729,0.9916046033824368,-0.4255733279684787,0.757903231381546,0.7506710865080525,2.8088004592819296,0.3330380765555052,0.7617292159180457,0.2507590687284141,0.4684148461545896,2.649504406029097,0.6765000419048139,0.0043520034012262,0.0439596540307471,1,0
ISIC_0000030,235,166,185,111,97,109,152.40000000000003,201.0,1.6095648806618543,31.0,1.9608471105003693,212.0,136.0,76.0,0.2608512024661266,6.7769595920001855,1.7586254894220377,0.0415136322448911,0.967407958289194,0.0415136322448911,0.9975580216326534,-0.8399965320140979,0.9680755301163652,0.9780666131720256,3.3883873793051364,0.3212145689579876,1.099584631360332,0.3408545315352675,0.4255973009246767,3.3055278533610126,0.139525999607488,0.002666736242238,0.2154694122324117,1,0
ISIC_0000031,195,162,174,50,76,88,156.0,184.0,1.1256647266208537,16.0,2.569603197438516,196.0,127.0,69.0,-0.2742813691177389,5.7763062363847535,0.0361545330781251,0.0500993579515668,0.9142586904780876,0.0500993579515668,0.9949900642048434,-0.7439398088912286,0.902786704055206,0.927348811069957,2.9757983714188576,0.3065485485889339,1.113891205634325,0.34742775974377,0.4106371617298355,2.897740745404093,0.1151075963593334,0.0032782656350687,0.0794393035652393,1,0
ISIC_0000035,146,139,148,25,37,50,161.0,170.0,0.0608632450428084,4.0,3.555056405495072,177.0,153.0,24.0,-0.2686237057888896,1.0300631445098276,0.068563717687219,0.0052375696811137,0.7122784282213249,0.0052375696811137,0.9989524860637772,-0.5676902528300578,0.2991341443606643,0.7122784282204393,1.9517432156874048,0.2989290322580645,5.298870967741936,1.598056824903078,0.4069132560387663,1.9072277548661665,0.0039720083246618,2.4813970662280555e-05,0.183206106870229,1,0
ISIC_0000036,149,145,67,64,82,102,157.0,201.0,1.7616142237897812,24.0,13.9281765731038,208.0,10.0,198.0,-3.203229286383387,59.649045726283255,-77.77793176809922,0.0480992858604925,0.9889448176384958,0.0480992858604925,0.9994134233431646,-0.8396940669074219,0.974435655625438,0.9999999999996922,3.624875473944232,0.2970581543702404,0.2396486628125,0.0676026442182307,0.4122057237983747,3.56235208929262,1.7748498557864094,0.0020111327937463,3.243647499825997,1,0
